election,state,twoway
2004,Alabama,0.3710222864771775
2004,Alaska,0.3677371701875368
2004,Arizona,0.4472499496951174
2004,Arkansas,0.4506425174833222
2004,California,0.5504132045282245
2004,Colorado,0.47633770441757367
2004,Connecticut,0.5527494756058412
2004,Delaware,0.5383150624509161
2004,District of Columbia,0.9052027864743607
2004,Florida,0.47476320424331214
2004,Georgia,0.4164576730359044
2004,Hawaii,0.5440444800293027
2004,Idaho,0.306772618166357
2004,Illinois,0.5520863404955345
2004,Indiana,0.3957652375034154
2004,Iowa,0.49663320737287087
2004,Kansas,0.3713290121891777
2004,Kentucky,0.39992380084526075
2004,Louisiana,0.4266905873075651
2004,Maine,0.545830164103086
2004,Maryland,0.565655842075012
2004,Massachusetts,0.6274285551299189
2004,Michigan,0.5172584446796521
2004,Minnesota,0.5176091061066895
2004,Mississippi,0.40494999230378637
2004,Missouri,0.4638028733456015
2004,Montana,0.39499923824336647
2004,Nebraska,0.331526627404053
2004,Nevada,0.486824042751385
2004,New Hampshire,0.5069028862013731
2004,New Jersey,0.5337053631884221
2004,New Mexico,0.49599664113645114
2004,New York,0.5928776570401989
2004,North Carolina,0.4375802799815888
2004,North Dakota,0.36090645850056713
2004,Ohio,0.4894125599521079
2004,Oklahoma,0.3442959833524394
2004,Oregon,0.5210862577445008
2004,Pennsylvania,0.5125828209706239
2004,Rhode Island,0.6057751057587814
2004,South Carolina,0.4136354174025079
2004,South Dakota,0.39086709198906316
2004,Tennessee,0.4281455454525927
2004,Texas,0.38489808102890083
2004,Utah,0.2665356083987796
2004,Vermont,0.6030100213925116
2004,Virginia,0.4586630328646994
2004,Washington,0.5364653768345296
2004,West Virginia,0.43520289370254517
2004,Wisconsin,0.5019180327426924
2004,Wyoming,0.29687296826828297
2008,Alabama,0.39109097246427327
2008,Alaska,0.389352150834029
2008,Arizona,0.4568609928038368
2008,Arkansas,0.3982827938928274
2008,California,0.622784495915854
2008,Colorado,0.5455063469317343
2008,Connecticut,0.6131833824975418
2008,Delaware,0.6263813864988855
2008,District of Columbia,0.9340076833341566
2008,Florida,0.514196600308993
2008,Georgia,0.47371664489188214
2008,Hawaii,0.7299372587845542
2008,Idaho,0.3697541019497945
2008,Illinois,0.6273426404455936
2008,Indiana,0.5052195344537809
2008,Iowa,0.5484877778946735
2008,Kansas,0.42387724181090564
2008,Kentucky,0.4176657241229539
2008,Louisiana,0.40542825838414637
2008,Maine,0.588295249834076
2008,Maryland,0.6293008729288553
2008,Massachusetts,0.6319707821335295
2008,Michigan,0.5837130157615452
2008,Minnesota,0.5522937499539273
2008,Mississippi,0.43358069007136163
2008,Missouri,0.4993242085032335
2008,Montana,0.4883059671605927
2008,Nebraska,0.4239092557783436
2008,Nevada,0.563867381251961
2008,New Hampshire,0.548685411201095
2008,New Jersey,0.5786462987142394
2008,New Mexico,0.5766490001879759
2008,New York,0.6357668110312692
2008,North Carolina,0.5016596330006732
2008,North Dakota,0.4559134371803188
2008,Ohio,0.5233384076225412
2008,Oklahoma,0.343549188773065
2008,Oregon,0.5841372117722718
2008,Pennsylvania,0.5522970381548445
2008,Rhode Island,0.6419813750914577
2008,South Carolina,0.4545557081079087
2008,South Dakota,0.45704292765884624
2008,Tennessee,0.4236852819764554
2008,Texas,0.4406406324905928
2008,Utah,0.35473638627259935
2008,Vermont,0.688991817393381
2008,Virginia,0.5318258440612755
2008,Washington,0.5875202680210895
2008,West Virginia,0.4332625623286275
2008,Wisconsin,0.5705567824781841
